Ticker,Exchange,Stage,Stage2_Transition_Date,Days_Since_Transition,Current_Price,Transition_Close,Price_Change_%,Minervini_Indicators_Met,RS_Rating,SMA_50,SMA_150,SMA_200,Volume,Relative_Volume
ZUMZ,NASDAQ,Stage 2,2025-10-23,0.0,22.06999969482422,22.06999969482422,0.0,8,99.0,19.319600067138673,15.292200012207031,15.289000000953674,222700.0,0.9003582026796472
ALTI,NASDAQ,Stage 2,2025-10-20,3.0,3.7699999809265137,3.8499999046325684,-2.077920147732825,5,33.0,3.902400026321411,3.7488666836420697,3.7175000166893004,101200.0,0.7701088197245263
NKSH,NASDAQ,Stage 2,2025-10-16,7.0,28.690000534057617,28.520000457763672,0.5960731892192805,5,66.78571428571429,29.803999938964843,27.685077362060547,27.625919036865234,5300.0,0.6761929063536617
BTU,NYSE,Stage 2,2025-10-16,7.0,29.059999465942383,33.150001525878906,-12.337863866291588,8,93.89285714285714,23.562800064086915,17.204940090179445,16.88565638065338,6536300.0,1.2253208352345306
NGNE,NASDAQ,Stage 2,2025-10-15,8.0,28.709999084472656,34.369998931884766,-16.467849936886015,6,91.92857142857143,22.06710006713867,18.92763335545858,18.560300035476686,117600.0,0.6523475636815479
ORN,NYSE,Stage 2,2025-10-13,10.0,8.600000381469727,8.430000305175781,2.0166081867110974,8,68.75,7.900999965667725,7.690666643778483,7.556799983978271,252000.0,0.6836234211554321
CTRN,NASDAQ,Stage 2,2025-10-03,20.0,35.599998474121094,32.5099983215332,9.504768723845826,7,92.32142857142857,34.019399909973146,29.275999984741212,28.210749988555907,85900.0,0.8812244814214489
GPRO,NASDAQ,Stage 2,2025-10-01,22.0,2.190000057220459,2.2100000381469727,-0.904976496891065,7,86.42857142857143,1.9590999937057496,1.18405333062013,1.1096099980175496,11753700.0,1.0486695368266918
AEHR,NASDAQ,Stage 2,2025-09-16,37.0,25.09000015258789,28.510000228881836,-11.99579112184412,8,80.92857142857143,26.37560001373291,16.6764000193278,15.273650007247925,1379200.0,0.6826979239884765
AMG,NYSE,Stage 2,2025-09-09,44.0,238.9499969482422,231.9600067138672,3.0134462976617598,8,85.25,233.70120056152345,200.69691009521483,194.05930435180665,175500.0,0.8683046537171355
CBFV,NASDAQ,Stage 2,2025-09-03,50.0,32.63999938964844,32.630001068115234,0.0306414992519663,8,80.53571428571429,32.85379989624023,30.114890378316243,29.62818651199341,5300.0,0.4605491831769204
STLD,NASDAQ,Stage 2,2025-08-29,55.0,150.72000122070312,130.4486541748047,15.539713440611116,5,97.82142857142857,137.00441024780272,130.49162999471028,129.40103981018066,1036000.0,0.8121986594018267
ATLO,NASDAQ,Stage 2,2025-08-12,72.0,20.719999313354492,18.997329711914062,9.067956536860375,7,94.67857142857143,20.029260292053223,18.309992955525715,18.121963624954223,10600.0,0.6689385333838193
DPG,NYSE,Stage 2,2025-08-07,77.0,13.260000228881836,12.611090660095215,5.145546775267745,8,95.07142857142857,12.745270385742188,12.20014632542928,11.96860966682434,63300.0,0.8586310734923089
TYGO,NASDAQ,Stage 2,2025-08-07,77.0,2.4800000190734863,1.2200000286102295,103.27868532090065,5,95.07142857142857,1.954900004863739,1.3642800013224283,1.2585649996995927,284100.0,0.5568251753185918
B,NYSE,Stage 2,2025-07-22,93.0,31.940000534057617,21.739999771118164,46.91812727841088,8,90.35714285714286,30.3556001663208,23.547139739990236,21.967210183143617,16663600.0,0.7514147309141083
E,NYSE,Stage 2,2025-07-14,101.0,36.20000076293945,33.11000061035156,9.332528225994137,8,91.14285714285714,35.111599884033204,32.231128997802735,31.16663814544678,236100.0,1.0161919272783617
AUPH,NASDAQ,Stage 2,2025-07-10,105.0,11.579999923706055,8.930000305175781,29.6752466737806,7,88.0,12.050100078582764,9.66936668395996,9.259174997806548,883600.0,0.5527765196349523
VIV,NYSE,Stage 2,2025-07-09,106.0,12.4399995803833,11.51132583618164,8.06747856343979,8,86.42857142857143,12.374199962615966,10.914843190511068,10.262839825153351,540800.0,0.7554950811793993
ACFN,NASDAQ,Stage 2,2025-07-07,108.0,23.950000762939453,17.690000534057617,35.38722464609196,8,78.96428571428572,27.499999923706056,21.149133338928223,20.261349987983703,19300.0,0.8893189567781771
KFS,NYSE,Stage 2,2025-06-30,115.0,15.0,13.539999961853027,10.782865895570971,8,73.85714285714286,14.489399967193604,12.566799993515014,11.389900000095368,60100.0,0.8127112914131169
BK,NYSE,Stage 2,Unknown,,106.68000030517578,,,0,86.82142857142857,105.90339981079102,94.31340744018554,91.568922996521,2720200.0,0.8129823739252685
ACV,NYSE,Stage 2,Unknown,,24.399999618530273,,,0,91.53571428571429,23.640087509155272,21.65432829538981,21.354430170059203,25000.0,0.5897060904845025
SSRM,NASDAQ,Stage 2,Unknown,,23.020000457763672,,,0,88.78571428571429,21.5292000579834,15.0532000096639,13.572500007152557,2374600.0,0.6492728832736084
ESE,NYSE,Stage 2,Unknown,,219.10000610351562,,,0,97.82142857142857,206.08237274169923,186.5629093424479,177.21484809875489,71900.0,0.34329640947288004
AX,NYSE,Stage 2,Unknown,,78.83000183105469,,,0,64.03571428571429,86.65039947509766,77.38286641438802,75.05874979019165,275400.0,0.8033838973162194
WFC,NYSE,Stage 2,Unknown,,84.45999908447266,,,0,76.60714285714286,81.66460067749023,76.74889277140299,76.2193293762207,14156000.0,0.9666883140384913
