,Entry Time,Type,Entry Price,Stop Loss,Take Profit,Status,Exit Time,Exit Price,PnL
0,2025-12-23 17:50:00+00:00,Long,620.7100219726562,617.780029296875,626.5700073242188,Loss,2025-12-31 14:45:00+00:00,617.780029296875,-1.0
1,2025-12-29 18:55:00+00:00,Long,619.8150024414062,618.72998046875,621.9850463867188,Win,2025-12-30 16:20:00+00:00,621.9850463867188,2.0
2,2026-01-05 20:50:00+00:00,Long,618.1400146484375,617.0399780273438,620.340087890625,Win,2026-01-06 14:45:00+00:00,620.340087890625,2.0
3,2026-01-08 18:00:00+00:00,Long,620.260009765625,617.7999877929688,625.1800537109375,Win,2026-01-09 15:30:00+00:00,625.1800537109375,2.0
4,2026-01-15 18:50:00+00:00,Long,625.72998046875,623.760009765625,629.669921875,Loss,2026-01-15 19:25:00+00:00,623.760009765625,-1.0
5,2026-01-16 19:15:00+00:00,Long,621.1400146484375,618.8900146484375,625.6400146484375,Loss,2026-01-20 14:30:00+00:00,618.8900146484375,-1.0
6,2026-01-22 19:00:00+00:00,Short,621.3826904296875,622.239990234375,619.6680908203125,Win,2026-01-22 20:25:00+00:00,619.6680908203125,2.0
7,2026-01-22 19:50:00+00:00,Short,621.085205078125,622.030029296875,619.195556640625,Win,2026-01-22 20:30:00+00:00,619.195556640625,2.0
8,2026-02-06 20:05:00+00:00,Short,608.2600708007812,608.989990234375,606.8002319335938,Loss,2026-02-06 20:20:00+00:00,608.989990234375,-1.0
9,2026-02-11 15:50:00+00:00,Short,612.239990234375,617.52001953125,601.679931640625,Win,2026-02-12 16:30:00+00:00,601.679931640625,2.0
10,2026-02-17 20:00:00+00:00,Short,602.7899780273438,603.9500122070312,600.4699096679688,Win,2026-02-17 20:30:00+00:00,600.4699096679688,2.0
